# path_seg_number, u, x (m), y (m), heading (deg), radius of curvature (m), flag_to_identify_given_pose
2 ,  0.15000000000000002 ,  368963.5155155876 ,  3280358.345596288 ,  90.89527894175488 ,  -6.393174263782819 ,  0
2 ,  0.2 ,  368963.52196700784 ,  3280358.7785908626 ,  87.57138773566014 ,  -8.754251906797544 ,  0
2 ,  0.25 ,  368963.55206151615 ,  3280359.2343149264 ,  85.0049222995929 ,  -11.941743564840863 ,  0
2 ,  0.30000000000000004 ,  368963.6022010985 ,  3280359.709067428 ,  83.04046081090557 ,  -16.366212361014178 ,  0
2 ,  0.35000000000000003 ,  368963.66878774046 ,  3280360.1991473166 ,  81.56695472405727 ,  -22.89312846631175 ,  0
2 ,  0.4 ,  368963.7482234279 ,  3280360.700853542 ,  80.50685846412821 ,  -33.70666614060985 ,  0
2 ,  0.45 ,  368963.83691014623 ,  3280361.210485053 ,  79.80815709848036 ,  -56.266138323511235 ,  0
2 ,  0.5 ,  368963.93124988116 ,  3280361.724340797 ,  79.4390413795657 ,  -100.0 ,  0
2 ,  0.55 ,  368964.02764461853 ,  3280362.2387197264 ,  79.38475219152652 ,  100.0 ,  0
2 ,  0.6000000000000001 ,  368964.12249634403 ,  3280362.7499207887 ,  79.64623825582613 ,  69.89678602319319 ,  0
2 ,  0.65 ,  368964.21220704325 ,  3280363.2542429343 ,  80.24048290991082 ,  37.69325082210102 ,  0
2 ,  0.7000000000000001 ,  368964.29317870183 ,  3280363.747985111 ,  81.2025966732127 ,  24.28790010494153 ,  0
2 ,  0.75 ,  368964.3618133056 ,  3280364.2274462692 ,  82.59004604987739 ,  16.738004087254954 ,  0
2 ,  0.8 ,  368964.4145128402 ,  3280364.688925358 ,  84.48970842643894 ,  11.83854890905914 ,  0
2 ,  0.8500000000000001 ,  368964.44767929113 ,  3280365.1287213257 ,  87.02876545402327 ,  8.420675455284412 ,  0
2 ,  0.9 ,  368964.4577146444 ,  3280365.543133123 ,  90.39049638645155 ,  5.956778868963801 ,  0
2 ,  0.9500000000000001 ,  368964.44102088537 ,  3280365.9284596974 ,  94.83473832393075 ,  4.170223437817521 ,  0
3 ,  0.0 ,  368964.394 ,  3280366.281 ,  100.71671970165742 ,  2.1354358464595724 ,  1
3 ,  0.05 ,  368964.3328977734 ,  3280366.5301181674 ,  106.51520522464612 ,  3.0056027568307435 ,  0
3 ,  0.1 ,  368964.2420218302 ,  3280366.795190855 ,  111.10048104990749 ,  4.067781965576762 ,  0
3 ,  0.15000000000000002 ,  368964.1236257236 ,  3280367.0734797106 ,  114.83090038958211 ,  5.283903568025931 ,  0
3 ,  0.2 ,  368963.9799630068 ,  3280367.362246381 ,  117.95496731506435 ,  6.592778796447037 ,  0
3 ,  0.25 ,  368963.81328723294 ,  3280367.658752513 ,  120.64663432597943 ,  7.913418066543543 ,  0
3 ,  0.30000000000000004 ,  368963.6258519556 ,  3280367.960259754 ,  123.03078890229644 ,  9.151705367194717 ,  0
3 ,  0.35000000000000003 ,  368963.41991072765 ,  3280368.264029752 ,  125.20033435650096 ,  10.210132048482803 ,  0
3 ,  0.4 ,  368963.1977171026 ,  3280368.567324153 ,  127.22754150780895 ,  10.999521829127849 ,  0
3 ,  0.45 ,  368962.96152463363 ,  3280368.867404605 ,  129.17178856551303 ,  11.450892940298525 ,  0
3 ,  0.5 ,  368962.7135868737 ,  3280369.161532753 ,  131.08513406572771 ,  11.525164247387893 ,  0
3 ,  0.55 ,  368962.4561573765 ,  3280369.4469702477 ,  133.01669581446848 ,  11.218615716769213 ,  0
3 ,  0.6000000000000001 ,  368962.19148969505 ,  3280369.7209787345 ,  135.0165370852519 ,  10.562907236557235 ,  0
3 ,  0.65 ,  368961.92183738254 ,  3280369.9808198595 ,  137.13964162807534 ,  9.619768760738433 ,  0
3 ,  0.7000000000000001 ,  368961.6494539924 ,  3280370.2237552716 ,  139.4505640281597 ,  8.47171458558282 ,  0
3 ,  0.75 ,  368961.3765930776 ,  3280370.447046617 ,  142.0294616262167 ,  7.2108677118668085 ,  0
